Replication;BOAT_GROUP_QUEUE: Total queue length;BOAT_GROUP_QUEUE: Waiting time arbitrary customer;waitingTimeArbitraryCustomer;Mean boat occupancy;totalQueuelength
1;0,16456;5,2E-4;5,6E-4;0,3495075;0,16456
94,0.0,0.0,0.0,0.3325,0.0
95,0.1,0.0,0.0,0.41,0.1
96,0.0,0.0,0.0,0.2625,0.0
97,0.0,0.0,0.0,0.2675,0.0
98,1.46,0.1,0.06,0.4175,1.46
99,0.08,0.0,0.0,0.355,0.08
100,0.16,0.0,0.0,0.3325,0.16
1,0.08,0.0,0.0,0.31,0.08
2,0.34,0.0,0.0,0.355,0.34
3,0.0,0.0,0.0,0.33,0.0
4,0.3,0.0,0.0,0.4375,0.3
5,0.2,0.0,0.0,0.365,0.2
6,0.5,0.02,0.02,0.3775,0.5
7,0.0,0.0,0.0,0.3375,0.0
8,0.0,0.0,0.0,0.3675,0.0
9,0.0,0.0,0.0,0.2725,0.0
10,0.0,0.0,0.0,0.31,0.0
11,0.0,0.0,0.0,0.335,0.0
12,0.0,0.0,0.0,0.3525,0.0
13,0.0,0.0,0.0,0.28,0.0
14,0.0,0.0,0.0,0.3075,0.0
15,0.08,0.0,0.0,0.285,0.08
16,0.0,0.0,0.0,0.37,0.0
17,0.0,0.0,0.0,0.3075,0.0
18,0.18,0.0,0.0,0.3225,0.18
19,0.0,0.0,0.0,0.3125,0.0
20,0.1,0.0,0.0,0.2525,0.1
21,0.18,0.0,0.0,0.3325,0.18
22,0.0,0.0,0.0,0.3875,0.0
23,0.1,0.0,0.0,0.3725,0.1
24,0.32,0.0,0.0,0.335,0.32
25,0.18,0.0,0.0,0.2775,0.18
26,0.0,0.0,0.0,0.32,0.0
27,0.1,0.0,0.0,0.335,0.1
28,0.2,0.0,0.0,0.3525,0.2
29,0.28,0.0,0.0,0.3975,0.28
30,0.38,0.0,0.0,0.3775,0.38
31,1.12,0.02,0.02,0.4275,1.12
32,0.18,0.0,0.0,0.395,0.18
33,0.28,0.0,0.0,0.32,0.28
34,0.26,0.0,0.0,0.3875,0.26
35,0.0,0.0,0.0,0.3025,0.0
36,0.2,0.0,0.0,0.36,0.2
37,0.0,0.0,0.0,0.33,0.0
38,0.2,0.0,0.0,0.3975,0.2
39,0.28,0.0,0.0,0.3525,0.28
40,0.1,0.0,0.0,0.3625,0.1
41,0.54,0.02,0.02,0.2525,0.54
42,0.84,0.04,0.04,0.4225,0.84
43,0.92,0.02,0.02,0.41,0.92
44,0.3,0.0,0.0,0.2975,0.3
45,0.08,0.0,0.0,0.4025,0.08
46,0.16,0.0,0.0,0.355,0.16
47,0.08,0.0,0.0,0.305,0.08
48,0.0,0.0,0.0,0.3475,0.0
49,1.02,0.04,0.0,0.4425,1.02
50,0.2,0.0,0.0,0.32,0.2
51,0.08,0.0,0.0,0.34,0.08
52,0.08,0.0,0.0,0.3425,0.08
53,0.0,0.0,0.0,0.37,0.0
54,0.38,0.0,0.0,0.3575,0.38
55,0.1,0.0,0.0,0.315,0.1
56,0.42,0.0,0.0,0.3825,0.42
57,0.0,0.0,0.0,0.3575,0.0
58,0.66,0.0,0.0,0.3575,0.66
59,0.74,0.0,0.0,0.395,0.74
60,0.2,0.0,0.0,0.3125,0.2
61,0.18,0.0,0.0,0.255,0.18
62,0.0,0.0,0.0,0.3275,0.0
63,0.08,0.0,0.0,0.3075,0.08
64,0.2,0.0,0.0,0.4525,0.2
65,0.1,0.0,0.0,0.3475,0.1
66,0.6,0.0,0.0,0.41,0.6
67,0.22,0.0,0.0,0.3425,0.22
68,0.18,0.0,0.0,0.3225,0.18
69,0.1,0.0,0.0,0.3775,0.1
70,0.2,0.0,0.0,0.4075,0.2
71,0.0,0.0,0.0,0.385,0.0
72,0.76,0.02,0.04,0.355,0.76
73,0.38,0.0,0.0,0.3975,0.38
74,0.0,0.0,0.0,0.2975,0.0
75,0.08,0.0,0.0,0.335,0.08
76,0.0,0.0,0.0,0.36,0.0
77,0.1,0.0,0.0,0.3475,0.1
78,0.1,0.0,0.0,0.285,0.1
79,0.0,0.0,0.0,0.245,0.0
80,0.1,0.0,0.0,0.395,0.1
81,0.0,0.0,0.0,0.3325,0.0
82,0.46,0.0,0.0,0.2725,0.46
83,0.0,0.0,0.0,0.32,0.0
84,0.18,0.0,0.0,0.3575,0.18
85,0.08,0.0,0.0,0.39,0.08
86,0.1,0.0,0.0,0.36,0.1
87,0.08,0.0,0.0,0.355,0.08
88,0.38,0.0,0.0,0.3275,0.38
89,0.18,0.0,0.0,0.3625,0.18
90,0.08,0.0,0.0,0.275,0.08
91,0.0,0.0,0.0,0.3175,0.0
92,0.2,0.0,0.0,0.28,0.2
93,0.0,0.0,0.0,0.2975,0.0
94,0.1,0.0,0.0,0.2925,0.1
95,0.0,0.0,0.0,0.2725,0.0
96,0.52,0.0,0.0,0.4025,0.52
97,0.1,0.0,0.0,0.325,0.1
98,0.28,0.0,0.0,0.3475,0.28
99,0.1,0.0,0.0,0.385,0.1
100,0.0,0.0,0.0,0.3125,0.0
1,0.0,0.0,0.0,0.3525,0.0
2,0.0,0.0,0.0,0.36,0.0
3,0.1,0.0,0.0,0.315,0.1
4,0.2,0.0,0.0,0.3425,0.2
5,0.5,0.0,0.0,0.425,0.5
6,0.2,0.0,0.0,0.3325,0.2
7,0.48,0.0,0.0,0.395,0.48
8,0.98,0.02,0.0,0.3575,0.98
9,0.0,0.0,0.0,0.3425,0.0
10,0.46,0.02,0.02,0.38,0.46
11,0.0,0.0,0.0,0.285,0.0
12,0.38,0.0,0.0,0.3275,0.38
13,0.0,0.0,0.0,0.2625,0.0
14,0.0,0.0,0.0,0.33,0.0
15,0.0,0.0,0.0,0.265,0.0
16,0.3,0.0,0.0,0.37,0.3
17,0.36,0.0,0.0,0.4075,0.36
18,0.0,0.0,0.0,0.3075,0.0
19,0.54,0.0,0.0,0.35,0.54
20,0.16,0.0,0.0,0.3325,0.16
21,0.0,0.0,0.0,0.365,0.0
22,0.0,0.0,0.0,0.33,0.0
23,0.0,0.0,0.0,0.3125,0.0
24,0.08,0.0,0.0,0.3725,0.08
25,0.1,0.0,0.0,0.29,0.1
26,0.1,0.0,0.0,0.3525,0.1
27,0.08,0.0,0.0,0.3775,0.08
28,0.0,0.0,0.0,0.355,0.0
29,0.32,0.0,0.0,0.4325,0.32
30,0.0,0.0,0.0,0.355,0.0
31,0.28,0.0,0.0,0.32,0.28
32,0.98,0.0,0.0,0.3575,0.98
33,0.1,0.0,0.0,0.38,0.1
34,0.18,0.0,0.0,0.38,0.18
35,0.38,0.0,0.0,0.375,0.38
36,0.0,0.0,0.0,0.275,0.0
37,0.34,0.0,0.0,0.3425,0.34
38,0.18,0.0,0.0,0.345,0.18
39,0.1,0.0,0.0,0.3325,0.1
40,0.18,0.0,0.0,0.3675,0.18
41,0.0,0.0,0.0,0.355,0.0
42,0.1,0.0,0.0,0.26,0.1
43,0.0,0.0,0.0,0.3675,0.0
44,0.08,0.0,0.0,0.365,0.08
45,0.0,0.0,0.0,0.375,0.0
46,0.0,0.0,0.0,0.345,0.0
47,0.0,0.0,0.0,0.3875,0.0
48,0.0,0.0,0.0,0.2975,0.0
49,0.18,0.0,0.0,0.325,0.18
50,0.38,0.0,0.0,0.3925,0.38
51,0.1,0.0,0.0,0.3375,0.1
52,0.1,0.0,0.0,0.3625,0.1
53,0.18,0.0,0.0,0.4075,0.18
54,0.0,0.0,0.0,0.36,0.0
55,0.1,0.0,0.0,0.3075,0.1
56,0.16,0.0,0.0,0.345,0.16
57,0.2,0.0,0.0,0.38,0.2
58,0.0,0.0,0.0,0.32,0.0
59,0.08,0.0,0.0,0.3075,0.08
60,0.62,0.0,0.0,0.3875,0.62
61,0.44,0.0,0.0,0.44,0.44
62,0.08,0.0,0.0,0.3125,0.08
63,0.6,0.0,0.0,0.4225,0.6
64,0.0,0.0,0.0,0.405,0.0
65,0.14,0.0,0.0,0.32,0.14
66,0.0,0.0,0.0,0.3575,0.0
67,0.2,0.0,0.0,0.415,0.2
68,0.28,0.0,0.0,0.325,0.28
69,0.2,0.0,0.0,0.37,0.2
70,0.0,0.0,0.0,0.2875,0.0
71,0.18,0.0,0.0,0.295,0.18
72,0.0,0.0,0.0,0.4225,0.0
73,0.2,0.0,0.0,0.3425,0.2
74,0.0,0.0,0.0,0.28,0.0
75,0.1,0.0,0.0,0.3225,0.1
76,0.18,0.0,0.0,0.3025,0.18
77,0.1,0.0,0.0,0.3025,0.1
78,0.1,0.0,0.0,0.36,0.1
79,0.0,0.0,0.0,0.3375,0.0
80,0.46,0.0,0.0,0.3625,0.46
81,0.0,0.0,0.0,0.3,0.0
82,0.1,0.0,0.0,0.38,0.1
83,0.46,0.0,0.0,0.3525,0.46
84,0.18,0.0,0.0,0.37,0.18
85,0.0,0.0,0.0,0.295,0.0
86,0.46,0.0,0.0,0.425,0.46
87,0.0,0.0,0.0,0.2975,0.0
88,0.0,0.0,0.0,0.285,0.0
89,0.2,0.0,0.0,0.3625,0.2
90,0.0,0.0,0.0,0.3425,0.0
91,0.1,0.0,0.0,0.305,0.1
92,0.28,0.0,0.0,0.3525,0.28
93,0.0,0.0,0.0,0.3925,0.0
94,0.0,0.0,0.0,0.32,0.0
95,0.1,0.0,0.0,0.3475,0.1
96,0.28,0.0,0.0,0.325,0.28
97,0.0,0.0,0.0,0.3475,0.0
98,0.46,0.0,0.0,0.335,0.46
99,0.1,0.0,0.0,0.365,0.1
100,0.0,0.0,0.0,0.3275,0.0
1,0.24,0.0,0.0,0.4,0.24
2,0.18,0.0,0.0,0.35125,0.18
3,0.29,0.0,0.0,0.40125,0.29
4,0.24,0.0,0.0,0.375,0.24
5,0.05,0.0,0.0,0.35125,0.05
6,0.26,0.0,0.0,0.34625,0.26
7,0.15,0.0,0.0,0.365,0.15
8,0.0,0.0,0.0,0.345,0.0
9,0.24,0.0,0.0,0.35125,0.24
10,0.09,0.0,0.0,0.2725,0.09
11,0.19,0.0,0.0,0.3575,0.19
12,0.17,0.0,0.0,0.31,0.17
13,0.04,0.0,0.0,0.3225,0.04
14,0.09,0.0,0.0,0.32875,0.09
15,0.0,0.0,0.0,0.3475,0.0
16,0.18,0.0,0.0,0.31625,0.18
17,0.18,0.0,0.0,0.33375,0.18
18,0.32,0.01,0.01,0.37625,0.32
19,0.1,0.0,0.0,0.345,0.1
20,0.2,0.0,0.0,0.3475,0.2
21,0.22,0.01,0.01,0.34125,0.22
22,0.13,0.0,0.0,0.27625,0.13
23,0.04,0.0,0.0,0.30375,0.04
24,0.3,0.0,0.0,0.375,0.3
25,0.1,0.0,0.0,0.3375,0.1
26,0.0,0.0,0.0,0.36625,0.0
27,0.45,0.0,0.0,0.34375,0.45
28,0.09,0.0,0.0,0.385,0.09
29,0.0,0.0,0.0,0.32,0.0
30,0.0,0.0,0.0,0.33875,0.0
31,0.22,0.0,0.0,0.38625,0.22
32,0.14,0.0,0.0,0.32875,0.14
33,0.15,0.0,0.0,0.36875,0.15
34,0.13,0.0,0.0,0.37,0.13
35,0.05,0.0,0.0,0.34375,0.05
36,0.18,0.0,0.0,0.35,0.18
