Replication,Total amount of people in Queue
1,12.66326530612245
2,14.67
3,14.221052631578948
4,17.132653061224488
5,11.68421052631579
6,19.68867924528302
7,18.87962962962963
8,9.542553191489361
9,15.184466019417476
10,20.132075471698112
